time,lane,type,duration
1.056,1,0,0
1.525333,1,0,0
1.994667,0,0,0
2.933333,1,0,0
3.872,0,0,0
4.341333,0,0,0
4.810667,1,0,0
5.749333,0,0,0
6.688,0,0,0
7.626667,1,0,0
8.565333,1,0,0
9.504,0,0,0
9.973333,0,0,0
10.442667,0,0,0
10.912,0,0,0
11.381333,1,0,0
11.850667,1,0,0
12.32,0,0,0
12.789333,0,0,0
13.258667,1,0,0
13.728,1,0,0
14.197333,1,0,0
15.136,0,1,1
16.074667,1,0,0
16.544,1,0,0
17.013333,0,0,0
17.482667,0,0,0
17.952,1,0,0
18.421333,1,0,0
18.890667,0,0,0
19.36,0,0,0
19.829333,1,0,0
20.298667,1,0,0
20.768,0,0,0
21.237333,0,0,0
21.706667,0,0,0
22.645333,1,0,0
23.584,1,0,0
24.522667,0,0,0
25.461333,0,0,0
26.4,1,0,0
27.338667,1,0,0
28.277333,1,0,0
29.216,1,0,0
30.154667,0,1,1
31.093333,1,0,0
32.032,0,0,0
32.970667,1,0,0
33.44,0,0,0
33.909333,1,0,0
34.848,1,0,0
35.786667,0,0,0
36.725333,0,0,0
37.664,1,0,0
38.602667,1,0,0
39.541333,0,0,0
40.48,0,0,0
41.418667,1,0,0
42.357333,0,0,0
43.296,1,0,0
44.234667,1,0,0
45.173333,0,1,1
46.112,1,0,0
47.050667,0,0,0
47.989333,1,0,0
48.928,1,0,0
49.866667,1,0,0
50.805333,0,0,0
51.274667,0,0,0
51.744,1,0,0
52.213333,1,0,0
52.682667,0,0,0
53.152,1,0,0
53.621333,1,0,0
54.090667,1,0,0
54.56,0,0,0
55.029333,0,0,0
55.498667,0,0,0
55.968,0,0,0
56.437333,1,0,0
57.376,0,0,0
58.314667,1,0,0
59.253333,0,0,0
60.192,0,1,1
61.130667,1,0,0
62.069333,0,0,0
63.008,1,0,0
63.946667,0,0,0
64.885333,1,0,0
65.824,0,0,0
66.762667,0,0,0
67.701333,1,0,0
68.64,1,0,0
69.578667,0,0,0
70.517333,0,0,0
71.456,1,0,0
72.394667,0,0,0
73.333333,1,0,0
74.272,1,0,0
75.210667,0,1,1
76.149333,1,0,0
77.088,0,0,0
78.026667,1,0,0
78.965333,0,0,0
79.904,1,0,0
80.842667,0,0,0
81.781333,0,0,0
82.250667,0,0,0
82.72,1,0,0
83.189333,1,0,0
83.658667,1,0,0
84.128,1,0,0
84.597333,0,0,0
85.066667,0,0,0
85.536,0,0,0
86.474667,1,0,0
87.413333,0,0,0
88.352,1,0,0
89.290667,1,0,0
90.229333,0,1,1
91.168,1,0,0
92.106667,0,0,0
93.045333,1,0,0
93.984,0,0,0
94.922667,1,0,0
95.392,1,0,0
95.861333,0,0,0
96.8,0,0,0
97.738667,1,0,0
98.677333,1,0,0
99.616,0,0,0
100.554667,0,0,0
101.493333,1,0,0
102.432,0,0,0
103.370667,1,0,0
104.309333,1,0,0
105.248,0,1,1
106.186667,1,0,0
107.125333,0,0,0
108.064,1,0,0
109.002667,0,0,0
109.941333,1,0,0
110.88,0,0,0
111.818667,1,0,0
112.757333,0,0,0
113.226667,1,0,0
113.696,1,0,0
114.634667,0,0,0
115.573333,0,0,0
116.512,1,0,0
