time,lane,type,duration
0.864,1,0,0
1.696,0,0,0
2.528,0,0,0
3.36,1,0,0
4.192,0,0,0
5.024,1,0,0
5.856,0,0,0
6.688,0,0,0
7.104,1,0,0
7.52,1,0,0
7.936,0,0,0
8.352,0,0,0
8.768,1,0,0
9.184,0,0,0
9.6,0,0,0
10.016,1,0,0
10.432,1,0,0
10.848,0,0,0
11.264,0,0,0
11.68,1,0,0
12.096,1,0,0
12.512,0,0,0
12.928,1,0,0
13.344,0,0,0
13.76,1,0,0
14.176,1,0,0
14.592,0,0,0
15.008,0,0,0
15.424,1,0,0
15.84,0,0,0
16.256,0,0,0
16.672,1,0,0
17.088,1,0,0
17.504,0,0,0
17.92,0,0,0
18.336,1,0,0
18.752,1,0,0
19.168,0,0,0
19.584,1,0,0
20,0,0,0
20.416,1,0,0
20.832,1,0,0
21.248,0,0,0
21.664,0,0,0
22.08,1,0,0
22.496,0,0,0
22.912,0,0,0
23.328,1,0,0
23.744,1,0,0
24.16,0,0,0
24.576,0,0,0
24.992,1,0,0
25.408,1,0,0
25.824,0,0,0
26.24,1,0,0
26.656,0,0,0
27.072,1,0,0
27.488,1,0,0
27.904,0,0,0
28.32,0,0,0
28.736,1,0,0
29.152,0,0,0
29.568,0,0,0
30.4,1,0,0
30.608,0,0,0
30.816,0,0,0
31.232,0,0,0
31.648,1,0,0
31.856,1,0,0
32.064,1,0,0
32.272,1,0,0
32.48,0,0,0
33.312,0,0,0
34.144,1,0,0
34.976,0,0,0
35.808,0,0,0
36.64,1,0,0
37.056,1,1,0.832
37.472,0,0,0
38.304,1,0,0
38.928,0,0,0
39.136,0,0,0
39.552,1,0,0
39.968,0,0,0
40.384,1,0,0
40.8,1,0,0
41.216,0,0,0
41.632,0,0,0
42.048,1,0,0
42.464,0,0,0
42.88,0,0,0
43.296,1,0,0
43.712,1,0,0
44.128,0,0,0
44.232,0,0,0
44.544,0,0,0
44.96,1,0,0
45.376,1,0,0
45.376,0,1,0.832
46.208,1,0,0
46.624,0,0,0
47.456,1,0,0
48.288,0,0,0
49.12,0,0,0
49.952,1,0,0
50.784,0,0,0
51.616,0,1,1.248
51.616,1,0,0
52.136,1,0,0
52.241,1,0,0
52.552,1,0,0
52.864,1,0,0
53.28,0,0,0
53.384,0,0,0
53.696,0,0,0
53.8,0,0,0
54.112,1,0,0
54.216,1,0,0
54.528,0,0,0
54.944,0,0,0
55.048,0,0,0
55.36,1,0,0
55.464,1,0,0
55.776,0,0,0
55.88,1,0,0
56.192,0,0,0
56.608,1,0,0
56.712,1,0,0
56.813,1,0,0
57.024,1,0,0
57.128,0,0,0
57.44,0,0,0
57.544,0,0,0
57.856,0,0,0
57.96,1,0,0
58.272,1,0,0
58.376,1,0,0
58.688,1,0,0
58.792,1,0,0
59.104,0,0,0
59.208,0,0,0
59.52,1,0,0
59.936,0,0,0
60.04,0,0,0
60.352,1,0,0
60.456,1,0,0
60.768,1,0,0
60.872,1,0,0
61.184,0,0,0
61.288,0,0,0
61.6,0,0,0
62.016,1,0,0
62.12,0,0,0
62.432,0,0,0
62.536,1,0,0
62.848,0,0,0
62.952,0,0,0
63.264,1,0,0
63.368,0,0,0
63.68,1,0,0
63.784,1,0,0
64.096,0,0,0
64.512,0,0,0
64.512,1,1,0.832
65.032,0,0,0
65.76,0,0,0
66.592,0,0,0
67.424,1,0,0
