time,lane,type,duration
1.888,1,0,0
3.637333,0,0,0
5.386667,1,0,0
7.136,0,0,0
8.885333,0,0,0
10.634667,1,0,0
12.384,1,0,0
13.258667,1,0,0
14.133333,0,1,0.874667
15.008,1,0,0
15.882667,0,0,0
16.757333,1,0,0
17.632,0,0,0
18.506667,0,0,0
19.381333,1,0,0
20.256,1,0,0
21.130667,0,0,0
22.005333,0,0,0
22.88,1,0,0
23.754667,1,0,0
24.629333,0,0,0
25.504,1,0,0
26.378667,0,0,0
27.253333,1,0,0
28.128,0,1,0.874667
29.002667,1,0,0
29.877333,0,0,0
30.752,1,0,0
31.626667,0,0,0
32.501333,0,0,0
33.376,1,0,0
34.250667,1,0,0
35.125333,0,0,0
36,0,0,0
36.874667,1,0,0
37.749333,1,0,0
38.624,0,0,0
39.498667,1,0,0
40.373333,0,0,0
41.248,1,0,0
42.122667,0,1,0.874667
42.997333,1,0,0
43.872,0,0,0
44.746667,1,0,0
45.621333,0,0,0
46.496,0,0,0
47.370667,1,0,0
48.245333,1,0,0
49.12,0,0,0
49.994667,0,0,0
50.869333,1,0,0
51.744,1,0,0
52.618667,0,0,0
53.493333,1,0,0
54.368,0,0,0
55.242667,1,0,0
56.117333,0,1,0.874667
56.992,1,0,0
57.866667,0,0,0
58.741333,1,0,0
59.616,0,0,0
60.490667,0,0,0
61.365333,1,0,0
62.24,1,0,0
63.114667,0,0,0
63.989333,0,0,0
64.864,1,0,0
65.738667,1,0,0
66.613333,0,0,0
67.488,1,0,0
68.362667,1,0,0
70.112,0,0,0
71.861333,0,0,0
73.610667,1,0,0
75.36,1,0,0
77.109333,0,0,0
78.858667,1,0,0
80.608,0,0,0
82.357333,1,0,0
83.232,1,0,0
84.106667,0,1,0.874667
84.981333,1,0,0
85.856,0,0,0
86.730667,1,0,0
87.605333,0,0,0
88.48,0,0,0
89.354667,1,0,0
90.229333,1,0,0
91.104,0,0,0
91.978667,0,0,0
92.853333,1,0,0
93.728,1,0,0
94.602667,0,0,0
95.477333,1,0,0
96.352,0,0,0
97.226667,1,0,0
98.101333,0,1,0.874667
98.976,1,0,0
99.850667,0,0,0
100.725333,1,0,0
101.6,0,0,0
102.474667,0,0,0
103.349333,1,0,0
104.224,1,0,0
105.098667,0,0,0
105.973333,0,0,0
106.848,1,0,0
107.722667,1,0,0
108.597333,0,0,0
109.472,1,0,0
110.346667,1,0,0
112.096,0,0,0
