TEXT_ID,LANG,TEXT
MUSIC_SELECT_TUTORIAL_TITLE,JP,TUTORIAL
MUSIC_SELECT_TUTORIAL_DESC,JP,基本操作を確認します
MUSIC_SELECT_SETTING_TITLE,JP,SETTING
MUSIC_SELECT_SETTING_DESC,JP,ゲーム設定を変更します
MUSIC_SELECT_EDIT_TITLE,JP,EDIT
MUSIC_SELECT_EDIT_DESC,JP,譜面を作成します

MUSIC_SELECT_TUTORIAL_TITLE,EN,TUTORIAL
MUSIC_SELECT_TUTORIAL_DESC,EN,Check the basic controls.
MUSIC_SELECT_SETTING_TITLE,EN,SETTING
MUSIC_SELECT_SETTING_DESC,EN,Change the game settings.
MUSIC_SELECT_EDIT_TITLE,EN,EDIT
MUSIC_SELECT_EDIT_DESC,EN,Create a note chart.

MUSIC_SELECT_TUTORIAL_TITLE,KR,TUTORIAL
MUSIC_SELECT_TUTORIAL_DESC,KR,기본 조작을 확인합니다.
MUSIC_SELECT_SETTING_TITLE,KR,SETTING
MUSIC_SELECT_SETTING_DESC,KR,게임 설정을 변경합니다.
MUSIC_SELECT_EDIT_TITLE,KR,EDIT
MUSIC_SELECT_EDIT_DESC,KR,노트 패턴을 만듭니다.

MUSIC_SELECT_TUTORIAL_TITLE,CN,TUTORIAL
MUSIC_SELECT_TUTORIAL_DESC,CN,确认基本操作.
MUSIC_SELECT_SETTING_TITLE,CN,SETTING
MUSIC_SELECT_SETTING_DESC,CN,更改游戏设置.
MUSIC_SELECT_EDIT_TITLE,CN,EDIT
MUSIC_SELECT_EDIT_DESC,CN,创建谱面.
