TEXT_ID,LANG,TEXT
MUSIC_SELECT_TUTORIAL_TITLE,JP,チュートリアル
MUSIC_SELECT_TUTORIAL_DESC,JP,基本操作を確認します
MUSIC_SELECT_SETTING_TITLE,JP,設定
MUSIC_SELECT_SETTING_DESC,JP,ゲーム設定を変更します
MUSIC_SELECT_EDIT_TITLE,JP,エディット
MUSIC_SELECT_EDIT_DESC,JP,譜面を作成します

MUSIC_SELECT_TUTORIAL_TITLE,EN,TUTORIAL
MUSIC_SELECT_TUTORIAL_DESC,EN,Check the basic controls.
MUSIC_SELECT_SETTING_TITLE,EN,SETTING
MUSIC_SELECT_SETTING_DESC,EN,Change the game settings.
MUSIC_SELECT_EDIT_TITLE,EN,EDIT
MUSIC_SELECT_EDIT_DESC,EN,Create a note chart.

MUSIC_SELECT_TUTORIAL_TITLE,KR,튜토리얼
MUSIC_SELECT_TUTORIAL_DESC,KR,기본 조작을 확인합니다.
MUSIC_SELECT_SETTING_TITLE,KR,설정
MUSIC_SELECT_SETTING_DESC,KR,게임 설정을 변경합니다.
MUSIC_SELECT_EDIT_TITLE,KR,에디트
MUSIC_SELECT_EDIT_DESC,KR,노트 패턴을 만듭니다.

MUSIC_SELECT_TUTORIAL_TITLE,CN,教程
MUSIC_SELECT_TUTORIAL_DESC,CN,确认基本操作.
MUSIC_SELECT_SETTING_TITLE,CN,设置
MUSIC_SELECT_SETTING_DESC,CN,更改游戏设置.
MUSIC_SELECT_EDIT_TITLE,CN,编辑
MUSIC_SELECT_EDIT_DESC,CN,创建谱面.

CONFIG_TITLE,JP,コンフィグ
CONFIG_MASTER_VOLUME,JP,マスター音量
CONFIG_BGM_VOLUME,JP,BGM音量
CONFIG_SE_VOLUME,JP,効果音
CONFIG_VOICE_VOLUME,JP,ボイス音量
CONFIG_NOTE_SPEED,JP,ノーツ速度
CONFIG_LANGUAGE,JP,言語
CONFIG_SCREEN_SIZE,JP,画面サイズ
CONFIG_RESET,JP,初期設定に戻す
CONFIG_SAVE,JP,保存
CONFIG_BACK,JP,戻る
CONFIG_GUIDE_KEYBOARD,JP,[W/S] SELECT  [A/D] CHANGE  [ENTER] DECIDE  [BACKSPACE] BACK
CONFIG_GUIDE_XBOX,JP,[D-PAD] SELECT / CHANGE  [A] DECIDE  [B] BACK
CONFIG_GUIDE_PS,JP,[D-PAD] SELECT / CHANGE  [X] DECIDE  [O] BACK

CONFIG_TITLE,EN,CONFIG
CONFIG_MASTER_VOLUME,EN,MASTER VOLUME
CONFIG_BGM_VOLUME,EN,BGM VOLUME
CONFIG_SE_VOLUME,EN,SE VOLUME
CONFIG_VOICE_VOLUME,EN,VOICE VOLUME
CONFIG_NOTE_SPEED,EN,NOTE SPEED
CONFIG_LANGUAGE,EN,LANGUAGE
CONFIG_SCREEN_SIZE,EN,SCREEN SIZE
CONFIG_RESET,EN,RESET TO DEFAULT
CONFIG_SAVE,EN,SAVE
CONFIG_BACK,EN,BACK
CONFIG_GUIDE_KEYBOARD,EN,[W/S] SELECT  [A/D] CHANGE  [ENTER] DECIDE  [BACKSPACE] BACK
CONFIG_GUIDE_XBOX,EN,[D-PAD] SELECT / CHANGE  [A] DECIDE  [B] BACK
CONFIG_GUIDE_PS,EN,[D-PAD] SELECT / CHANGE  [X] DECIDE  [O] BACK

CONFIG_TITLE,KR,설정
CONFIG_MASTER_VOLUME,KR,전체 음량
CONFIG_BGM_VOLUME,KR,BGM 음량
CONFIG_SE_VOLUME,KR,효과음 음량
CONFIG_VOICE_VOLUME,KR,보이스 음량
CONFIG_NOTE_SPEED,KR,노트 속도
CONFIG_LANGUAGE,KR,언어
CONFIG_SCREEN_SIZE,KR,화면 크기
CONFIG_RESET,KR,기본값으로 초기화
CONFIG_SAVE,KR,저장
CONFIG_BACK,KR,돌아가기
CONFIG_GUIDE_KEYBOARD,KR,[W/S] SELECT  [A/D] CHANGE  [ENTER] DECIDE  [BACKSPACE] BACK
CONFIG_GUIDE_XBOX,KR,[D-PAD] SELECT / CHANGE  [A] DECIDE  [B] BACK
CONFIG_GUIDE_PS,KR,[D-PAD] SELECT / CHANGE  [X] DECIDE  [O] BACK

CONFIG_TITLE,CN,设置
CONFIG_MASTER_VOLUME,CN,总音量
CONFIG_BGM_VOLUME,CN,BGM音量
CONFIG_SE_VOLUME,CN,音效音量
CONFIG_VOICE_VOLUME,CN,语音音量
CONFIG_NOTE_SPEED,CN,音符速度
CONFIG_LANGUAGE,CN,语言
CONFIG_SCREEN_SIZE,CN,画面大小
CONFIG_RESET,CN,恢复默认设置
CONFIG_SAVE,CN,保存
CONFIG_BACK,CN,返回
CONFIG_GUIDE_KEYBOARD,CN,[W/S] SELECT  [A/D] CHANGE  [ENTER] DECIDE  [BACKSPACE] BACK
CONFIG_GUIDE_XBOX,CN,[D-PAD] SELECT / CHANGE  [A] DECIDE  [B] BACK
CONFIG_GUIDE_PS,CN,[D-PAD] SELECT / CHANGE  [X] DECIDE  [O] BACK
