time,lane,type,duration
0.821333,0,0,0
1.056,1,0,0
1.290666,1,0,0
1.408,0,0,0
1.525333,0,0,0
1.76,0,0,0
1.994666,1,0,0
2.112,0,0,0
2.229333,0,0,0
2.464,1,0,0
2.698666,1,0,0
2.933333,0,0,0
3.168,1,0,0
3.402666,0,0,0
3.637333,1,0,0
3.872,0,0,0
4.106666,1,0,0
4.341333,0,0,0
4.576,0,0,0
4.810666,1,0,0
4.928,1,0,0
5.045333,1,0,0
5.28,0,0,0
5.514666,0,0,0
5.632,0,0,0
5.984,0,0,0
6.218666,1,0,0
6.453333,1,0,0
6.688,0,0,0
6.922666,1,0,0
7.157333,0,0,0
7.392,1,0,0
7.626666,0,0,0
7.861333,1,0,0
8.096,0,0,0
8.330666,0,0,0
8.565333,1,0,0
8.682666,1,0,0
8.8,1,0,0
8.917333,0,0,0
9.034666,0,0,0
9.269333,0,0,0
9.504,1,0,0
9.738666,0,0,0
9.973333,1,0,0
10.208,1,0,0
10.442666,0,0,0
10.677333,1,0,0
10.912,0,0,0
11.146666,1,0,0
11.381333,0,0,0
11.616,1,0,0
11.850666,0,0,0
12.085333,0,0,0
12.32,1,0,0
12.554666,1,0,0
12.789333,0,0,0
13.024,0,0,0
13.258666,1,0,0
13.493333,0,0,0
13.728,1,0,0
13.962666,1,0,0
14.197333,0,0,0
14.432,1,0,0
14.666666,0,0,0
14.784,1,0,0
14.901333,1,0,0
15.136,0,0,0
15.370666,1,0,0
15.605333,0,0,0
15.84,0,0,0
16.074666,1,0,0
16.309333,1,0,0
16.544,0,0,0
16.778666,0,0,0
17.013333,1,0,0
17.248,0,0,0
17.482666,1,0,0
17.717333,1,0,0
17.952,0,1,1
18.186666,1,0,0
18.656,1,0,0
19.125333,1,0,0
19.36,0,0,0
19.594666,0,0,0
19.712,1,0,0
19.829333,1,0,0
20.064,1,0,0
20.298666,0,0,0
20.533333,0,0,0
20.768,1,0,0
21.002666,0,0,0
21.237333,1,0,0
21.472,1,0,0
21.706666,0,0,0
21.941333,1,0,0
22.176,0,0,0
22.293333,1,0,0
22.410666,1,0,0
22.645333,0,0,0
22.88,1,0,0
22.997333,0,0,0
23.114666,0,0,0
23.349333,0,0,0
23.584,1,0,0
23.818666,1,0,0
24.053333,0,0,0
24.288,0,0,0
24.522666,1,0,0
24.757333,0,0,0
24.992,1,0,0
25.226666,1,0,0
25.461333,0,0,0
25.696,1,0,0
25.930666,0,0,0
26.165333,1,0,0
26.4,0,0,0
26.634666,1,0,0
26.869333,0,0,0
27.104,0,0,0
27.338666,1,0,0
27.573333,1,0,0
27.808,0,0,0
27.925333,0,0,0
28.042666,0,0,0
28.277333,1,0,0
28.512,0,0,0
28.746666,1,0,0
28.981333,1,0,0
29.216,0,0,0
29.450666,1,0,0
29.685333,0,0,0
29.92,1,0,0
30.154666,0,0,0
30.389333,1,0,0
30.624,0,0,0
30.858666,0,0,0
31.093333,1,0,0
31.328,1,0,0
31.562666,0,0,0
31.797333,0,0,0
32.032,1,0,0
32.266666,0,0,0
32.501333,1,0,0
32.736,1,0,0
32.970666,0,2,0.938667
34.144,1,0,0
34.378666,0,0,0
34.613333,0,0,0
34.730666,0,0,0
34.848,1,0,0
35.082666,1,0,0
35.317333,0,0,0
35.434666,0,0,0
35.552,0,0,0
35.786666,1,0,0
36.021333,0,0,0
36.256,1,0,0
36.490666,1,0,0
36.725333,0,0,0
36.96,1,0,0
37.194666,0,0,0
