time,lane,type,duration
1.056,0,0,0
1.290666,0,0,0
1.525333,1,0,0
1.994667,0,0,0
2.229333,1,0,0
2.464,0,0,0
2.933333,1,0,0
3.168,1,0,0
3.402667,1,0,0
3.872,0,0,0
4.341333,0,0,0
4.576,0,0,0
4.810667,1,0,0
5.28,0,0,0
5.749333,1,0,0
6.218667,1,0,0
6.688,0,0,0
6.922666,0,0,0
7.157333,1,0,0
7.626667,0,0,0
8.096,1,0,0
8.565333,0,0,0
9.034667,1,0,0
9.504,0,0,0
9.973333,0,0,0
10.208,1,0,0
10.442667,1,0,0
10.677333,0,0,0
10.912,1,0,0
11.381333,0,0,0
11.850667,0,0,0
12.085333,1,0,0
12.32,1,0,0
12.789333,0,0,0
13.258667,1,0,0
13.728,1,0,0
13.962666,1,0,0
14.197333,0,0,0
14.666667,1,0,0
14.901333,0,0,0
15.136,0,0,0
15.605333,1,0,0
16.074667,0,0,0
16.544,1,0,0
17.013333,0,0,0
17.482667,0,0,0
17.952,1,0,0
18.421333,1,0,0
18.890667,0,0,0
19.36,0,0,0
19.829333,1,0,0
20.298667,0,0,0
20.768,1,0,0
21.237333,1,0,0
21.706667,0,0,0
22.176,1,0,0
22.645333,0,1,0.938667
23.114667,1,0,0
24.053333,1,0,0
24.522667,0,0,0
24.992,0,0,0
25.461333,1,0,0
25.930667,1,0,0
26.4,0,0,0
26.869333,0,0,0
27.338667,1,0,0
27.808,0,0,0
28.042666,1,0,0
28.277333,1,0,0
28.746667,1,0,0
29.216,0,0,0
29.685333,1,0,0
29.92,0,0,0
30.154667,0,0,0
30.624,1,0,0
31.093333,0,0,0
31.562667,1,0,0
32.032,0,0,0
32.501333,0,0,0
32.970667,1,0,0
33.44,1,0,0
33.909333,0,0,0
34.378667,0,0,0
34.848,1,0,0
35.317333,0,0,0
35.786667,1,0,0
36.256,1,0,0
36.725333,0,0,0
37.194667,1,0,0
37.664,0,0,0
37.898666,1,0,0
38.133333,1,0,0
38.368,0,0,0
38.602667,0,0,0
39.072,1,0,0
39.541333,0,0,0
39.776,1,0,0
40.010667,0,0,0
40.48,1,0,0
40.949333,1,0,0
41.418667,0,1,0.938667
42.357333,1,0,0
42.826667,0,0,0
43.296,1,0,0
43.530666,0,0,0
43.765333,1,0,0
44.234667,0,0,0
44.704,1,0,0
45.173333,0,0,0
45.642667,1,0,0
46.112,0,0,0
46.581333,1,0,0
47.050667,0,0,0
47.52,0,0,0
47.754666,0,0,0
47.989333,1,0,0
48.458667,1,0,0
48.928,0,0,0
49.397333,0,0,0
49.632,1,0,0
49.866667,1,0,0
50.101333,1,0,0
50.336,0,0,0
50.805333,1,0,0
51.04,0,0,0
51.274667,1,0,0
51.509333,0,0,0
51.744,0,0,0
51.978666,1,0,0
52.213333,1,0,0
52.682667,0,0,0
53.152,1,0,0
53.386666,0,0,0
53.621333,0,0,0
53.856,1,0,0
54.090667,1,0,0
54.56,0,0,0
55.029333,0,0,0
55.498667,1,0,0
55.968,1,0,0
56.437333,0,0,0
56.672,1,0,0
56.906667,0,0,0
57.141333,0,0,0
57.376,1,0,0
57.845333,0,0,0
58.08,1,0,0
58.314667,1,0,0
58.784,1,0,0
59.253333,0,0,0
59.488,0,0,0
59.722667,1,0,0
60.192,0,2,0.938667
60.661333,1,0,0
61.130667,0,0,0
61.6,1,0,0
62.069333,0,0,0
62.538667,0,0,0
63.008,1,0,0
63.477333,1,0,0
63.946667,0,0,0
64.416,0,0,0
64.885333,1,0,0
65.12,0,0,0
65.354667,0,0,0
65.589333,1,0,0
65.824,1,0,0
66.293333,1,0,0
66.762667,0,0,0
67.232,1,0,0
67.701333,0,0,0
67.936,0,0,0
68.170667,1,0,0
68.64,0,0,0
69.109333,1,0,0
69.578667,0,0,0
70.048,0,0,0
70.517333,1,0,0
70.986667,1,0,0
71.456,0,0,0
71.925333,0,0,0
72.394667,1,0,0
72.864,0,0,0
73.333333,1,0,0
73.802667,1,0,0
74.272,0,0,0
74.741333,1,0,0
75.210667,0,0,0
75.68,1,0,0
76.149333,0,0,0
76.384,0,0,0
76.618667,1,0,0
77.088,0,0,0
77.557333,0,0,0
78.026667,1,0,0
78.496,1,0,0
78.965333,0,2,1
79.904,1,0,0
80.842667,1,0,0
81.312,1,0,0
81.781333,0,0,0
82.250667,1,0,0
82.72,0,0,0
82.954666,1,0,0
83.189333,1,0,0
83.424,1,0,0
83.658667,0,0,0
83.893333,0,0,0
84.128,1,0,0
84.597333,0,0,0
84.832,0,0,0
85.066667,0,0,0
85.301333,1,0,0
85.536,1,0,0
86.005333,1,0,0
86.474667,0,0,0
86.709333,0,0,0
86.944,0,0,0
87.413333,1,0,0
87.648,1,0,0
87.882667,0,0,0
88.352,1,0,0
88.821333,1,0,0
89.290667,0,0,0
89.76,1,0,0
89.994666,1,0,0
90.229333,0,0,0
90.698667,1,0,0
91.168,0,0,0
91.637333,1,0,0
92.106667,0,0,0
92.576,0,0,0
93.045333,1,0,0
93.514667,1,0,0
93.984,0,0,0
94.453333,0,0,0
94.688,0,0,0
94.922667,1,0,0
95.392,0,0,0
95.626666,1,0,0
95.861333,1,0,0
96.096,0,0,0
96.330667,1,0,0
96.565333,1,0,0
96.8,0,0,0
97.269333,1,0,0
97.738667,0,1,1
98.208,1,0,0
99.146667,1,0,0
99.616,0,0,0
100.085333,0,0,0
100.554667,1,0,0
101.024,1,0,0
101.493333,0,0,0
101.962667,0,0,0
102.432,1,0,0
102.901333,0,0,0
103.370667,1,0,0
103.84,1,0,0
104.074666,0,0,0
104.309333,0,0,0
104.778667,1,0,0
105.248,0,0,0
105.717333,1,0,0
106.186667,0,0,0
106.421333,1,0,0
106.656,1,0,0
106.890666,0,0,0
107.125333,0,0,0
107.594667,0,0,0
108.064,1,0,0
108.298666,0,0,0
108.533333,1,0,0
109.002667,0,0,0
109.472,0,0,0
109.941333,1,0,0
110.410667,0,0,0
110.88,1,0,0
111.349333,1,0,0
111.818667,0,0,0
112.288,1,0,0
112.757333,0,0,0
113.226667,1,0,0
113.461333,1,0,0
113.696,0,0,0
114.165333,1,0,0
114.634667,0,0,0
115.104,0,0,0
115.573333,1,0,0
116.042667,1,0,0
116.512,0,0,0
116.981333,0,0,0
