time,lane,type,duration
1.013333,0,0,0
1.888,1,0,0
2.762667,0,0,0
3.637333,1,0,0
4.512,0,0,0
5.386667,0,0,0
6.261333,0,0,0
7.136,0,0,0
8.010667,0,0,0
8.885333,1,0,0
9.76,0,0,0
10.634667,1,0,0
11.509333,0,0,0
12.384,0,0,0
13.258667,0,0,0
13.696,1,0,0
14.133333,0,0,0
14.570667,1,0,0
15.008,0,0,0
15.445333,0,0,0
15.882667,1,0,0
16.32,1,0,0
16.757333,0,0,0
17.194667,0,0,0
17.632,1,1,0.874667
18.506667,0,0,0
18.944,1,0,0
19.381333,0,0,0
19.818667,1,0,0
20.256,0,0,0
20.693333,1,0,0
21.130667,0,0,0
21.568,1,0,0
22.005333,0,0,0
22.442667,0,0,0
22.88,1,0,0
23.317333,1,0,0
23.754667,0,0,0
24.192,0,0,0
24.629333,1,0,0
25.066667,1,0,0
25.504,0,0,0
25.941333,1,0,0
26.378667,0,0,0
26.816,1,0,0
27.253333,0,0,0
27.690667,1,0,0
28.128,0,0,0
28.346667,1,0,0
28.565333,1,0,0
29.002667,0,0,0
29.221334,0,0,0
29.44,0,0,0
29.877333,1,0,0
30.096,1,0,0
30.314667,1,0,0
30.752,0,0,0
30.970667,1,0,0
31.189333,0,0,0
31.626667,1,0,0
31.845334,1,0,0
32.064,1,0,0
32.501333,0,0,0
32.72,1,0,0
32.938667,1,0,0
33.376,0,0,0
33.594667,1,0,0
33.813333,1,0,0
34.250667,0,0,0
34.469334,0,0,0
34.688,1,0,0
35.125333,0,0,0
35.344,1,0,0
35.562667,1,0,0
36,0,0,0
36.218667,0,0,0
36.437333,0,0,0
36.874667,1,0,0
37.093334,1,0,0
37.312,1,0,0
37.749333,0,0,0
37.968,1,0,0
38.186667,0,0,0
38.624,1,0,0
38.842667,1,0,0
39.061333,1,0,0
39.498667,0,0,0
39.717334,1,0,0
39.936,1,0,0
40.373333,0,0,0
40.592,1,0,0
40.810667,1,0,0
41.248,0,0,0
41.466667,0,0,0
41.685333,1,0,0
42.122667,0,0,0
42.341334,1,0,0
42.56,1,0,0
42.997333,0,0,0
43.216,0,0,0
43.434667,0,0,0
43.872,1,0,0
44.090667,1,0,0
44.309333,1,0,0
44.746667,0,0,0
44.965334,1,0,0
45.184,0,0,0
45.621333,1,0,0
45.84,1,0,0
46.058667,1,0,0
46.496,0,0,0
46.714667,1,0,0
46.933333,1,0,0
47.370667,0,0,0
47.589334,1,0,0
47.808,1,0,0
48.245333,0,0,0
48.464,0,0,0
