time,lane,type,duration
1.696,0,0,0
3.36,1,0,0
5.024,0,0,0
6.688,0,0,0
7.52,0,0,0
8.352,1,0,0
9.184,1,0,0
10.016,0,0,0
10.848,0,0,0
11.68,1,0,0
12.512,1,0,0
13.344,0,0,0
14.176,1,0,0
15.008,0,0,0
15.84,1,0,0
16.672,1,0,0
17.504,0,0,0
18.336,0,0,0
19.168,1,0,0
20,0,0,0
20.832,0,0,0
21.664,1,0,0
22.496,1,0,0
23.328,0,0,0
24.16,0,0,0
24.992,1,0,0
25.824,1,0,0
26.656,0,0,0
27.488,1,0,0
28.32,0,0,0
29.152,1,0,0
29.984,1,0,0
30.816,0,0,0
31.232,0,1,0.832
32.48,1,0,0
33.312,0,0,0
34.976,1,0,0
36.64,0,0,0
38.304,1,0,0
39.136,1,0,0
39.968,0,0,0
40.8,1,0,0
41.632,0,0,0
42.464,1,0,0
43.296,1,0,0
44.128,0,0,0
44.96,0,0,0
45.792,0,1,0.832
45.792,1,0,0
48.288,1,0,0
49.952,0,0,0
51.616,1,0,0
52.448,1,0,0
53.28,0,0,0
54.112,1,0,0
54.944,0,0,0
55.776,1,0,0
56.608,1,0,0
57.44,0,0,0
58.272,0,0,0
59.104,1,0,0
59.936,0,0,0
60.768,0,0,0
61.6,1,0,0
62.432,1,0,0
63.264,0,0,0
64.096,0,0,0
64.928,1,0,0
66.592,0,0,0
68.256,0,0,0
69.92,1,0,0
70.752,0,0,0
71.584,0,0,0
72.416,1,0,0
73.248,0,0,0
74.08,0,0,0
74.912,1,0,0
75.744,1,0,0
76.576,0,0,0
77.408,0,0,0
78.24,1,0,0
78.656,0,1,0.832
79.072,1,0,0
79.904,0,0,0
80.736,1,0,0
81.568,0,0,0
82.4,1,0,0
83.232,1,0,0
84.064,0,0,0
84.896,0,0,0
85.728,1,0,0
86.56,0,0,0
87.392,0,0,0
88.224,1,0,0
89.056,1,0,0
89.888,0,0,0
90.72,0,0,0
91.552,1,0,0
92.384,1,0,0
92.384,0,1,0.832
94.048,1,0,0
94.88,0,0,0
95.712,1,0,0
96.544,1,0,0
97.376,0,0,0
98.208,0,0,0
99.04,1,0,0
99.872,0,0,0
100.704,0,0,0
101.536,1,0,0
102.368,1,0,0
103.2,0,0,0
104.032,0,0,0
104.864,1,0,0
105.696,1,0,0
106.112,1,1,0.832
106.528,0,0,0
107.36,1,0,0
108.192,0,0,0
109.024,1,0,0
109.856,1,0,0
110.688,0,0,0
111.52,0,0,0
112.352,1,0,0
113.184,0,0,0
