time,lane,type,duration
0.864,0,0,0
1.696,0,0,0
2.528,1,0,0
3.36,0,0,0
4.192,1,0,0
5.024,0,0,0
5.856,0,0,0
6.688,1,0,0
7.104,0,0,0
7.312,1,0,0
7.52,0,0,0
7.728,1,0,0
7.936,1,0,0
8.144,0,0,0
8.248,0,0,0
8.352,0,0,0
8.56,0,0,0
8.768,0,0,0
8.976,1,0,0
9.184,1,0,0
9.392,1,0,0
9.6,1,0,0
9.808,0,0,0
10.016,0,0,0
10.224,1,0,0
10.328,0,0,0
10.432,0,0,0
10.64,0,0,0
10.848,1,0,0
11.056,1,0,0
11.264,1,0,0
11.472,1,0,0
11.68,0,0,0
11.888,0,0,0
11.992,1,0,0
12.096,1,0,0
12.304,0,0,0
12.512,0,0,0
12.72,1,0,0
12.928,1,0,0
13.136,0,0,0
13.344,1,0,0
13.552,0,0,0
13.76,0,0,0
13.968,1,0,0
14.176,0,0,0
14.384,1,0,0
14.592,1,0,0
14.8,0,0,0
15.008,0,0,0
15.216,0,0,0
15.424,0,0,0
15.632,1,0,0
15.84,1,0,0
16.048,1,0,0
16.256,1,0,0
16.464,0,0,0
16.672,0,0,0
16.88,1,0,0
17.088,0,0,0
17.296,0,0,0
17.504,1,0,0
17.712,1,0,0
17.816,0,0,0
17.92,1,0,0
18.128,1,0,0
18.232,1,0,0
18.336,0,0,0
18.544,0,0,0
18.648,0,0,0
18.752,1,0,0
18.96,0,0,0
19.064,1,0,0
19.168,0,0,0
19.376,1,0,0
19.584,1,0,0
19.792,0,0,0
20,1,0,0
20.208,0,0,0
20.416,0,0,0
20.624,1,0,0
20.832,0,0,0
21.04,1,0,0
21.248,1,0,0
21.456,0,0,0
21.664,0,0,0
21.872,0,0,0
22.08,0,0,0
22.288,1,0,0
22.496,1,0,0
22.704,1,0,0
22.912,1,0,0
23.12,0,0,0
23.328,0,0,0
23.536,1,0,0
23.744,0,0,0
23.952,0,0,0
24.16,1,0,0
24.368,1,0,0
24.576,1,0,0
24.784,1,0,0
24.992,0,0,0
25.2,0,0,0
25.408,1,0,0
25.616,0,0,0
25.72,0,0,0
25.824,0,0,0
26.032,1,0,0
26.24,1,0,0
26.448,0,0,0
26.656,1,0,0
26.864,0,0,0
26.968,0,0,0
27.072,0,0,0
27.28,1,0,0
27.488,0,0,0
27.696,1,0,0
27.904,1,0,0
28.112,0,0,0
28.32,0,0,0
28.528,0,0,0
28.736,0,0,0
28.944,1,0,0
29.152,1,0,0
29.36,1,0,0
29.568,1,0,0
29.776,0,0,0
29.984,0,0,0
30.192,1,0,0
30.4,0,0,0
30.608,0,0,0
30.816,1,0,0
31.024,1,0,0
31.232,1,1,0.832
31.648,0,0,0
31.856,0,0,0
32.272,0,0,0
32.48,0,0,0
32.688,1,0,0
33.312,1,0,0
34.144,0,0,0
34.976,0,0,0
35.808,1,0,0
36.64,0,0,0
37.472,1,0,0
37.888,0,1,1.248
39.344,1,0,0
39.552,1,0,0
39.76,0,0,0
39.968,1,0,0
40.176,0,0,0
40.384,0,0,0
40.592,1,0,0
40.8,0,0,0
41.008,1,0,0
41.216,1,0,0
41.424,0,0,0
41.632,0,0,0
41.84,0,0,0
42.048,0,0,0
42.256,1,0,0
42.464,1,0,0
42.672,1,0,0
42.88,1,0,0
43.088,0,0,0
43.192,1,0,0
43.296,0,0,0
43.504,1,0,0
43.712,0,0,0
43.92,0,0,0
44.128,1,0,0
44.232,1,0,0
44.336,1,0,0
44.544,1,0,0
44.752,1,0,0
44.96,0,0,0
45.168,0,0,0
45.376,1,0,0
45.584,0,0,0
45.792,0,0,0
45.792,1,1,0.832
46.416,0,0,0
47.456,0,0,0
48.288,0,0,0
49.12,1,0,0
49.952,0,0,0
50.784,1,0,0
51.616,0,0,0
51.616,1,1,1.248
52.344,0,2,0.2
53.072,0,0,0
53.28,1,0,0
53.384,1,0,0
53.488,0,0,0
53.696,0,0,0
53.8,0,0,0.0
53.904,1,0,0
54.112,0,0,0
054.32,1,0,0
54.528,1,0,0
54.736,0,0,0
54.944,0,0,0
55.048,0,0,0
55.152,0,0,0
55.36,0,0,0
55.464,1,2,0.55
56.192,1,0,0
56.296,1,0,0
56.4,0,0,0
56.608,0,0,0
56.712,0,0,0
56.712,1,0,0
56.816,1,0,0
56.92,0,0,0
57.024,0,0,0
57.128,0,0,0
57.232,0,0,0
57.44,1,0,0
57.544,1,0,0
57.648,1,0,0
57.856,1,0,0
57.96,1,0,0
58.064,1,0,0
58.272,0,0,0
58.376,0,0,0
58.48,0,0,0
58.688,1,0,0
58.792,1,0,0
58.896,0,0,0
59,1,0,0
59.104,0,0,0
59.208,0,0,0
59.312,1,0,0
59.52,1,0,0
59.728,0,0,0
59.936,1,0,0
60.04,1,0,0
60.144,0,0,0
60.352,0,0,0
60.456,1,0,0
60.56,1,0,0
60.768,0,0,0
60.872,0,0,0
60.976,1,0,0
61.184,1,0,0
61.288,0,0,0
61.392,0,0,0
61.6,0,0,0
61.704,1,0,0
61.808,0,0,0
62.016,0,0,0
62.12,0,0,0
62.224,1,0,0
62.432,1,0,0
62.536,0,0,0
62.64,1,0,0
62.848,1,0,0
62.952,1,0,0
63.056,0,0,0
63.264,0,0,0
63.368,1,0,0
63.472,1,0,0
63.68,0,0,0
63.784,0,0,0
63.888,0,0,0
64.096,1,0,0
64.304,1,0,0
64.512,1,0,0
64.616,0,0,0
64.72,1,0,0
64.928,0,1,0.832
65.032,1,0,0
65.344,1,0,0
65.448,1,0,0
66.592,1,0,0
67.424,0,0,0
68.256,0,0,0
69.088,1,0,0
69.504,0,1,1.248
70.752,1,0,0
70.96,1,0,0
71.168,1,0,0
71.376,1,0,0
71.584,0,0,0
71.792,0,0,0
72,1,0,0
72.208,0,0,0
72.312,0,0,0
72.416,0,0,0
72.624,1,0,0
72.832,1,0,0
73.04,0,0,0
73.248,1,0,0
73.456,0,0,0
73.664,0,0,0
73.872,1,0,0
74.08,0,0,0
74.288,1,0,0
74.496,1,0,0
74.704,0,0,0
74.912,0,0,0
75.12,0,0,0
75.328,0,0,0
75.536,1,0,0
75.744,1,0,0
75.952,1,0,0
76.16,1,0,0
76.368,0,0,0
76.576,0,0,0
76.784,1,0,0
76.992,0,0,0
77.2,0,0,0
77.408,1,0,0
77.616,1,0,0
77.824,1,0,0
78.032,1,0,0
78.24,0,0,0
78.448,0,0,0
78.656,1,0,0
