ID,SECTION,STEP,SPEAKER,FACE,VOICE,LANG,TEXT,NEXT_CONDITION,COMMAND
会話番号,チュートリアルのセクション分け。スキップの区切り,進行ステップ（どのチュートリアルか）,話しているキャラクター,表情差分,音声ファイル,言語識別,会話本文,進行条件,実行コマンド
0,Intro,Story,REZZ,Serious,Rezz001,JP,"あなたが新しい調律士ね！",Click,None
1,Intro,Story,REZZ,Smile,Rezz002,JP,"私はリズ！あなたみたいな新米調律士のナビゲータよ！",Click,None
2,Intro,Story,RIFF,Serious,Riff001,JP,"私はリフって言います、今日はよろしくお願いします",Click,None
3,Intro,Story,REZZ,Serious,Rezz003,JP,"調律士の仕事は自分勝手に音を鳴らすようになっちゃった「ノイジー」を落ち着かせること",Click,None
4,Intro,Story,REZZ,Serious,Rezz004,JP,"仕事って言っても、近くで発生したノイジーに対応するボランティアって感じかな",Click,None
5,Intro,Story,RIFF,Smile,Riff002,JP,"私も学校やバンド活動の合間に手伝えるかなと思って来ました",Click,None
6,Intro,Story,REZZ,Smile,Rezz005,JP,"いいね!それじゃあ実際に私が説明しながらノイジーを倒してみよう！",Click,None
7,Intro,Story,RIFF,Smile,Riff003,JP,"頑張ります！",Click,None
8,UI,Story,REZZ,Serious,Rezz006,JP,"まずは画面の説明をするわ！",Click,None
9,UI,UI,REZZ,Smile,None,JP,"左にいるのがプレイヤーだよ",Click,FocusPlayer
10,UI,UI,REZZ,Smile,None,JP,"右で走っているのがエネミーのノイジーだよ",Click,FocusEnemy
11,UI,UI,REZZ,Smile,None,JP,"ここがプレイヤーのHPだよ",Click,FocusPlayerHP
12,UI,UI,REZZ,Smile,None,JP,"ここがエネミーのHPだよ、本番では0にすると上に討伐数がでるよ",Click,FocusEnemyHP
13,UI,UI,REZZ,Smile,None,JP,"これはプレイヤーのスキルゲージだよ",Click,FocusFeverGauge
14,UI,UI,REZZ,Smile,None,JP,"ここにはコンボ数が表示されるよ",Click,FocusCombo
15,UI,UI,REZZ,Smile,None,JP,"ここには現在のスコアとそのランクが表示されるよ",Click,FocusScoreRank
16,UI,UI,REZZ,Smile,None,JP,"最後に重要になるレーンだよ",Click,FocusLane
17,UI,UI,REZZ,Smile,None,JP,"上下に分かれていて丸と重なっているときにボタンを押してね",Click,FocusJudge
18,Notes,Story,REZZ,Serious,Rezz007,JP,"次は実際のノーツを見てみよう",Click,ClearFocus
19,Notes,Normal,REZZ,Smile,None,JP,"ラインに重なったタイミングでボタンを押そう",AutoDemoComplete,SpawnNormalDemoAuto
20,Notes,Normal,REZZ,Smile,None,JP,"ノーマルノーツをたたいてみよう",NormalSuccess,SpawnNormalPractice
21,Notes,Story,REZZ,Serious,Rezz008,JP,"いいね!つぎはロングノーツだよ",Click,None
22,Notes,Long,REZZ,Smile,None,JP,"ボタンを押した後、さいごまで押し続けよう",AutoDemoComplete,SpawnLongDemoAuto
23,Notes,Long,REZZ,Smile,None,JP,"ロングノーツを押し続けよう",LongSuccess,SpawnLongPractice
24,Notes,Story,REZZ,Serious,Rezz009,JP,"よくできたね!つぎはラピッドノーツだよ",Click,None
25,Notes,Rapid,REZZ,Smile,None,JP,"連打するとスコアがふえるよ",AutoDemoComplete,SpawnRapidDemoAuto
26,Notes,Rapid,REZZ,Smile,None,JP,"連打してみよう",RapidSuccess,SpawnRapidPractice
27,Fever,Story,REZZ,Serious,Rezz010,JP,"つぎはFEVERゲージについて説明するよ",Click,FocusFeverGauge
28,Fever,Story,REZZ,Smile,Rezz011,JP,"ノーツを成功させるとゲージがたまるよ",Click,FocusFeverGauge
29,Fever,Fever,REZZ,Serious,None,JP,"ノーツをたたいてスキルを発動させよう！",FeverActivated,StartFeverPractice
30,Fever,Story,REZZ,Smile,Rezz012,JP,"スキルが発動したね",Click,None
31,Fever,Story,REZZ,Smile,Rezz013,JP,"リフのスキルは攻撃力の上昇！",Click,None
32,Fever,Story,REZZ,Smile,Rezz014,JP,"他のキャラクターはそれぞれ別のスキルを持っているよ",Click,None
33,FinalPractice,Story,REZZ,Smile,Rezz015,JP,"基本操作の説明は終わりだよ",Click,None
34,FinalPractice,Story,REZZ,Serious,Rezz016,JP,"次は敵を一度倒すところまでを通してやってみよう！",Click,None
35,FinalPractice,Practice,REZZ,Smile,None,JP,"ノイジーを倒そう！！",EnemyKilled,StartFinalPractice
36,Ending,Story,REZZ,Serious,Rezz017,JP,"これでチュートリアルはおしまいだよ",Click,EndFinalPractice
37,Ending,Ending,REZZ,Smile,Rezz018,JP,"次は実際に遊んでみよう！",Click,None

0,Intro,Story,REZZ,Serious,Rezz001,EN,"You're a new tuner!",Click,None
1,Intro,Story,REZZ,Smile,Rezz002,EN,"I'm REZZ! I'll be your navigator!",Click,None
2,Intro,Story,RIFF,Serious,Riff001,EN,"My name's Riff, nice to meet you today",Click,None
3,Intro,Story,REZZ,Serious,Rezz003,EN,"A tuner's job is to calm down 'Noisy' that have gone rogue and are making random sounds",Click,None
4,Intro,Story,REZZ,Serious,Rezz004,EN,"Calling it a job, it's more like volunteering to handle Noisy that appear nearby",Click,None
5,Intro,Story,RIFF,Smile,Riff002,EN,"I thought maybe I could help out in between school and band activities",Click,None
6,Intro,Story,REZZ,Smile,Rezz005,EN,"Nice! Then let's actually take down Noisy while I explain!",Click,None
7,Intro,Story,RIFF,Smile,Riff003,EN,"Let's do our best!",Click,None
8,UI,Story,REZZ,Serious,Rezz006,EN,"First, I'll explain the screen!",Click,None
9,UI,UI,REZZ,Smile,None,EN,"The player is on the left",Click,FocusPlayer
10,UI,UI,REZZ,Smile,None,EN,"The enemy Noisy is running on the right",Click,FocusEnemy
11,UI,UI,REZZ,Smile,None,EN,"This is the player's HP",Click,FocusPlayerHP
12,UI,UI,REZZ,Smile,None,EN,"This is the enemy's HP; in the actual game, when it hits 0, the kill count appears above",Click,FocusEnemyHP
13,UI,UI,REZZ,Smile,None,EN,"This is the player's skill gauge",Click,FocusFeverGauge
14,UI,UI,REZZ,Smile,None,EN,"The combo count is shown here",Click,FocusCombo
15,UI,UI,REZZ,Smile,None,EN,"Your current score and rank are displayed here",Click,FocusScoreRank
16,UI,UI,REZZ,Smile,None,EN,"Finally, the important lane",Click,FocusLane
17,UI,UI,REZZ,Smile,None,EN,"It's split up and down, press the button when it overlaps with the circle",Click,FocusJudge
18,Notes,Story,REZZ,Serious,Rezz007,EN,"Next, let's look at the actual notes",Click,ClearFocus
